step,epoch,eval_loss,probe_n,verbal_compliance,verbal_mean_confidence
0,0,3.588134288787842,120,1.0,0.61917
0,0,3.588134288787842,120,1.0,0.61917
50,0.04,,120,1.0,0.58
0,0,3.588134288787842,120,1.0,0.61917
50,0.04,,120,1.0,0.57208
100,0.08,,120,1.0,0.51042
150,0.12,,120,1.0,0.46458
200,0.16,,120,1.0,0.48958
250,0.2,,120,1.0,0.49792
300,0.24,,120,1.0,0.49167
350,0.28,,120,1.0,0.48333
400,0.32,,120,1.0,0.45833
450,0.36,,120,1.0,0.48333
500,0.4,0.12499409168958664,120,0.99167,0.5042
550,0.44,,120,1.0,0.5
600,0.48,,120,1.0,0.55833
650,0.52,,120,0.96667,0.5431
700,0.56,,120,0.975,0.52137
750,0.6,,120,0.99167,0.52101
800,0.64,,120,0.99167,0.51261
850,0.68,,120,0.98333,0.5
900,0.72,,120,0.99167,0.53782
950,0.76,,120,0.9,0.44444
1000,0.8,0.11775927990674973,120,0.95833,0.49565
1050,0.84,,120,0.99167,0.47059
1100,0.88,,120,0.95,0.45614
1150,0.92,,120,0.91667,0.47273
1200,0.96,,120,0.925,0.46847
1250,1.0,,120,0.95833,0.49565
1300,1.04,,120,0.95833,0.44348
1350,1.08,,120,0.98333,0.49153
1400,1.12,,120,0.95833,0.51304
1450,1.16,,120,0.98333,0.52542
1500,1.2,0.1205495074391365,120,0.98333,0.47458
1550,1.24,,120,0.96667,0.50862
1600,1.28,,120,0.94167,0.50442
1650,1.32,,120,0.96667,0.46552
1700,1.36,,120,0.95,0.45614
1750,1.4,,120,0.94167,0.47788
1800,1.44,,120,0.95,0.48246
1850,1.48,,120,0.975,0.52137
1900,1.52,,120,0.975,0.49573
1950,1.56,,120,0.98333,0.50847
2000,1.6,0.1242108941078186,120,0.975,0.51282
2050,1.64,,120,0.975,0.49573
2100,1.68,,120,1.0,0.51667
2150,1.72,,120,1.0,0.5
2050,1.64,,120,0.98333,0.5
2100,1.68,,120,1.0,0.525
2150,1.72,,120,1.0,0.50833
2200,1.76,,120,0.99167,0.5042
2250,1.8,,120,1.0,0.54167
2300,1.84,,120,0.99167,0.53782
2350,1.88,,120,0.98333,0.50847
2400,1.92,,120,0.98333,0.5339
2450,1.96,,120,0.98333,0.52542
2500,2.0,0.12716726958751678,120,0.98333,0.52542
2550,2.04,,120,1.0,0.53333
2600,2.08,,120,1.0,0.525
2650,2.12,,120,1.0,0.53333
2700,2.16,,120,1.0,0.53333
2750,2.2,,120,1.0,0.53333
2800,2.24,,120,0.99167,0.53782
2850,2.28,,120,0.99167,0.52101
2900,2.32,,120,1.0,0.53333
2950,2.36,,120,0.98333,0.5339
3000,2.4,0.16974610090255737,120,0.99167,0.52941
3050,2.44,,120,0.99167,0.52941
3100,2.48,,120,0.99167,0.53782
3150,2.52,,120,0.98333,0.5339
3200,2.56,,120,0.975,0.52137
3250,2.6,,120,0.975,0.52137
3300,2.64,,120,0.98333,0.52542
3350,2.68,,120,0.975,0.52991
3400,2.72,,120,0.975,0.52991
3450,2.76,,120,0.975,0.52991
3500,2.8,0.1699381172657013,120,0.975,0.52991
