step,loss,learning_rate,epoch
50,0.77346923828125,2.6063829787234046e-05,0.04
100,0.16433521270751952,5.2659574468085106e-05,0.08
150,0.18503263473510742,7.925531914893617e-05,0.12
200,0.18460163116455078,9.999764693519729e-05,0.16
250,0.17845958709716797,9.992765528062938e-05,0.2
300,0.1668598747253418,9.97605852030593e-05,0.24
350,0.16065097808837892,9.949676155050107e-05,0.28
400,0.15303890228271486,9.913669729685653e-05,0.32
450,0.15888117790222167,9.868109254449838e-05,0.36
500,0.1649790573120117,9.813083316300371e-05,0.4
550,0.1364560604095459,9.748698906668554e-05,0.44
600,0.14957695007324218,9.675081213427076e-05,0.48
650,0.1402446746826172,9.592373377476997e-05,0.52
700,0.15117176055908202,9.500736214427206e-05,0.56
750,0.13552094459533692,9.400347901907456e-05,0.6
800,0.12658019065856935,9.291403633123046e-05,0.64
850,0.1455310821533203,9.174115237324704e-05,0.68
900,0.15428174018859864,9.048710767931654e-05,0.72
950,0.13859743118286133,8.915434059108705e-05,0.76
1000,0.12783641815185548,8.774544251659536e-05,0.8
1050,0.1433042812347412,8.626315289158054e-05,0.84
1100,0.13665152549743653,8.471035385297491e-05,0.88
1150,0.13060461044311522,8.309006463492956e-05,0.92
1200,0.130564603805542,8.140543569827051e-05,0.96
1250,0.1215589714050293,7.96597426048e-05,1.0
1300,0.05713111877441406,7.785637964835395e-05,1.04
1350,0.058743863105773925,7.599885325499879e-05,1.08
1400,0.05317338466644287,7.409077516520056e-05,1.12
1450,0.06045209407806396,7.213585541122261e-05,1.16
1500,0.058904623985290526,7.013789510340635e-05,1.2
1550,0.0507086706161499,6.810077903936176e-05,1.24
1600,0.05660992622375488,6.602846815043752e-05,1.28
1650,0.056576018333435056,6.392499180015847e-05,1.32
1700,0.04728971004486084,6.179443994960451e-05,1.3599999999999999
1750,0.04697939872741699,5.964095520496475e-05,1.4
1800,0.05904723644256592,5.746872476272973e-05,1.44
1850,0.052332825660705566,5.528197226818266e-05,1.48
1900,0.05106074810028076,5.308494960302063e-05,1.52
1950,0.05414027690887451,5.088192861807333e-05,1.56
2000,0.06297751426696778,4.867719282719407e-05,1.6
2050,0.05430724620819092,4.6475029078473656e-05,1.6400000000000001
2100,0.039255855083465574,4.427971921897085e-05,1.6800000000000002
2150,0.041955785751342775,4.209553176916727e-05,1.72
2200,0.0532726001739502,3.992671362333373e-05,1.76
2250,0.04814002513885498,3.7777481791946556e-05,1.8
2300,0.049418549537658694,3.565201520220921e-05,1.8399999999999999
2350,0.04765676021575928,3.355444657262238e-05,1.88
2400,0.05459259510040283,3.148885437740153e-05,1.92
2450,0.050808677673339846,2.945925491636586e-05,1.96
2500,0.04293861865997314,2.746959450571821e-05,2.0
