step,epoch,eval_loss,probe_n,verbal_compliance,verbal_mean_confidence
0,0,3.3431601524353027,120,0.95,0.67982
50,0.04,,120,1.0,0.44083
100,0.08,,120,1.0,0.45167
150,0.12,,120,0.95833,0.51304
200,0.16,,120,0.46667,1.0
250,0.2,,120,0.50833,0.95082
300,0.24,,120,0.5,0.85
350,0.28,,120,0.0,
400,0.32,,120,0.0,
450,0.36,,120,0.0,
500,0.4,0.14137396216392517,120,0.0,
550,0.44,,120,0.00833,1.0
600,0.48,,120,0.0,
650,0.52,,120,0.0,
700,0.56,,120,0.0,
750,0.6,,120,0.0,
800,0.64,,120,0.00833,1.0
850,0.68,,120,0.00833,1.0
900,0.72,,120,0.0,
950,0.76,,120,0.0,
1000,0.8,0.1407315731048584,120,0.0,
1050,0.84,,120,0.0,
1100,0.88,,120,0.0,
1150,0.92,,120,0.0,
1200,0.96,,120,0.0,
1250,1.0,,120,0.0,
1300,1.04,,120,0.00833,1.0
1350,1.08,,120,0.18333,0.90909
1400,1.12,,120,0.06667,1.0
1450,1.16,,120,0.0,
1500,1.2,0.14258664846420288,120,0.06667,0.625
1550,1.24,,120,0.06667,0.875
1600,1.28,,120,0.00833,1.0
1650,1.32,,120,0.03333,0.75
1700,1.36,,120,0.05833,0.85714
1750,1.4,,120,0.0,
1800,1.44,,120,0.0,
1850,1.48,,120,0.05,1.0
1900,1.52,,120,0.03333,1.0
1950,1.56,,120,0.01667,1.0
2000,1.6,0.1421125829219818,120,0.0,
2050,1.64,,120,0.0,
2100,1.68,,120,0.0,
2150,1.72,,120,0.0,
2200,1.76,,120,0.0,
2250,1.8,,120,0.0,
2300,1.84,,120,0.00833,1.0
2350,1.88,,120,0.0,
2400,1.92,,120,0.0,
2450,1.96,,120,0.0,
2500,2.0,0.1413862556219101,120,0.0,
