step,epoch,eval_loss,probe_n,verbal_compliance,verbal_mean_confidence
0,0,3.588134288787842,120,1.0,0.61917
0,0,3.588134288787842,120,1.0,0.61917
50,0.04,,120,1.0,0.53167
0,0,3.588134288787842,120,1.0,0.61917
50,0.04,,120,1.0,0.5175
100,0.08,,120,1.0,0.46792
150,0.12,,120,1.0,0.46375
200,0.16,,120,1.0,0.42292
250,0.2,,120,1.0,0.45
300,0.24,,120,1.0,0.45
350,0.28,,120,1.0,0.49167
400,0.32,,120,1.0,0.43333
450,0.36,,120,1.0,0.45833
500,0.4,0.1253591775894165,120,1.0,0.45833
550,0.44,,120,1.0,0.5
600,0.48,,120,1.0,0.46667
650,0.52,,120,1.0,0.475
700,0.56,,120,1.0,0.5
750,0.6,,120,0.99167,0.48739
800,0.64,,120,1.0,0.5
850,0.68,,120,0.99167,0.48739
900,0.72,,120,1.0,0.49167
950,0.76,,120,0.99167,0.48739
1000,0.8,0.1160212829709053,120,1.0,0.51667
1050,0.84,,120,1.0,0.45833
1100,0.88,,120,1.0,0.51667
1150,0.92,,120,1.0,0.475
1200,0.96,,120,0.98333,0.45763
1250,1.0,,120,1.0,0.51667
1300,1.04,,120,1.0,0.5
1350,1.08,,120,1.0,0.45
1400,1.12,,120,1.0,0.51667
1450,1.16,,120,1.0,0.44167
1500,1.2,0.1311325579881668,120,1.0,0.45833
1550,1.24,,120,1.0,0.5
1600,1.28,,120,1.0,0.475
1650,1.32,,120,1.0,0.475
1700,1.36,,120,1.0,0.45833
1750,1.4,,120,1.0,0.49167
1800,1.44,,120,1.0,0.45833
1850,1.48,,120,1.0,0.5
1900,1.52,,120,1.0,0.49167
1950,1.56,,120,1.0,0.48333
2000,1.6,0.12081195414066315,120,1.0,0.49167
2050,1.64,,120,1.0,0.49167
2100,1.68,,120,1.0,0.48333
2150,1.72,,120,1.0,0.48333
2200,1.76,,120,1.0,0.48333
2050,1.64,,120,1.0,0.49167
2100,1.68,,120,1.0,0.475
2150,1.72,,120,1.0,0.48333
2200,1.76,,120,1.0,0.49167
2250,1.8,,120,1.0,0.48333
2300,1.84,,120,1.0,0.49167
2350,1.88,,120,1.0,0.48333
2400,1.92,,120,1.0,0.49167
2450,1.96,,120,1.0,0.48333
2500,2.0,0.12662111222743988,120,1.0,0.48333
2550,2.04,,120,1.0,0.49167
2600,2.08,,120,1.0,0.475
2650,2.12,,120,1.0,0.49167
2700,2.16,,120,1.0,0.49167
2750,2.2,,120,1.0,0.5
2800,2.24,,120,1.0,0.48333
2850,2.28,,120,1.0,0.475
2900,2.32,,120,1.0,0.475
2950,2.36,,120,1.0,0.5
3000,2.4,0.17155948281288147,120,1.0,0.5
3050,2.44,,120,1.0,0.48333
3100,2.48,,120,1.0,0.475
3150,2.52,,120,1.0,0.49167
3200,2.56,,120,1.0,0.49167
3250,2.6,,120,1.0,0.48333
3300,2.64,,120,1.0,0.48333
3350,2.68,,120,1.0,0.5
3400,2.72,,120,1.0,0.5
3450,2.76,,120,1.0,0.49167
3500,2.8,0.17337115108966827,120,1.0,0.48333
