step,epoch,eval_loss,probe_n,verbal_compliance,verbal_mean_confidence
0,0,3.3431601524353027,120,0.95,0.67982
50,0.04,,120,1.0,0.65875
100,0.08,,120,1.0,0.4525
150,0.12,,120,1.0,0.475
200,0.16,,120,1.0,0.44167
250,0.2,,120,1.0,0.54167
300,0.24,,120,1.0,0.46667
350,0.28,,120,1.0,0.45833
400,0.32,,120,1.0,0.475
450,0.36,,120,0.99167,0.51261
500,0.4,0.1280393749475479,120,1.0,0.46667
550,0.44,,120,0.98333,0.51695
600,0.48,,120,0.98333,0.52797
650,0.52,,120,0.98333,0.52119
700,0.56,,120,0.975,0.53846
750,0.6,,120,0.99167,0.52941
800,0.64,,120,0.975,0.52137
850,0.68,,120,0.94167,0.53982
900,0.72,,120,0.8,0.63021
950,0.76,,120,0.825,0.60606
1000,0.8,0.12410298734903336,120,0.95833,0.53043
1050,0.84,,120,0.83333,0.59
1100,0.88,,120,0.96667,0.5431
1150,0.92,,120,0.85833,0.61165
1200,0.96,,120,0.81667,0.63265
1250,1.0,,120,0.89167,0.58879
1300,1.04,,120,0.90833,0.55046
1350,1.08,,120,0.94167,0.54867
1400,1.12,,120,0.95833,0.58261
1450,1.16,,120,0.85,0.64706
1500,1.2,0.11572134494781494,120,0.85833,0.58252
1550,1.24,,120,0.925,0.58559
1600,1.28,,120,0.83333,0.57
1650,1.32,,120,0.8,0.5625
1700,1.36,,120,0.9,0.56481
1750,1.4,,120,0.80833,0.58763
1800,1.44,,120,0.85,0.56863
1850,1.48,,120,0.88333,0.5566
1900,1.52,,120,0.94167,0.54867
1950,1.56,,120,0.89167,0.57944
2000,1.6,0.12617290019989014,120,0.825,0.58586
2050,1.64,,120,0.86667,0.56731
2100,1.68,,120,0.8,0.625
2150,1.72,,120,0.925,0.57658
2200,1.76,,120,0.86667,0.60577
2250,1.8,,120,0.89167,0.57009
2300,1.84,,120,0.925,0.57658
2350,1.88,,120,0.91667,0.56364
2400,1.92,,120,0.89167,0.57009
2450,1.96,,120,0.875,0.57143
2500,2.0,0.1252765655517578,120,0.85833,0.57282
2550,2.04,,120,0.875,0.57143
2600,2.08,,120,0.9,0.56481
2650,2.12,,120,0.90833,0.55963
2700,2.16,,120,0.91667,0.55455
2750,2.2,,120,0.89167,0.56075
2800,2.24,,120,0.85833,0.57282
2850,2.28,,120,0.88333,0.56604
2900,2.32,,120,0.9,0.56481
2550,2.04,,120,0.85833,0.60194
2600,2.08,,120,0.8,0.59375
2650,2.12,,120,0.91667,0.57273
2700,2.16,,120,0.91667,0.57273
2750,2.2,,120,0.825,0.59596
2800,2.24,,120,0.81667,0.62245
2850,2.28,,120,0.79167,0.62105
2900,2.32,,120,0.875,0.59048
2950,2.36,,120,0.81667,0.62245
3000,2.4,0.14557921886444092,120,0.84167,0.60396
3050,2.44,,120,0.8,0.64583
3100,2.48,,120,0.81667,0.62245
3150,2.52,,120,0.775,0.64516
3200,2.56,,120,0.78333,0.64894
3250,2.6,,120,0.775,0.63441
3300,2.64,,120,0.76667,0.63043
3350,2.68,,120,0.75833,0.63736
3400,2.72,,120,0.75833,0.63736
3450,2.76,,120,0.75833,0.63736
3500,2.8,0.14225834608078003,120,0.775,0.64516
3550,2.84,,120,0.76667,0.6413
3600,2.88,,120,0.775,0.64516
3650,2.92,,120,0.75833,0.63736
3700,2.96,,120,0.76667,0.6413
3750,3.0,,120,0.76667,0.6413
3750,3.0,0.14321176707744598,120,0.76667,0.6413
