step,loss,learning_rate,epoch
50,0.8803417205810546,2.6063829787234046e-05,0.04
100,0.20302331924438477,5.2659574468085106e-05,0.08
150,0.19468067169189454,7.925531914893617e-05,0.12
200,0.20039081573486328,9.999764693519729e-05,0.16
250,0.21765878677368164,9.992765528062938e-05,0.2
300,0.20258907318115235,9.97605852030593e-05,0.24
350,0.17757631301879884,9.949676155050107e-05,0.28
400,0.18413074493408202,9.913669729685653e-05,0.32
450,0.18528242111206056,9.868109254449838e-05,0.36
500,0.20847864151000978,9.813083316300371e-05,0.4
550,0.16392356872558594,9.748698906668554e-05,0.44
600,0.17680877685546875,9.675081213427076e-05,0.48
650,0.17231204986572266,9.592373377476997e-05,0.52
700,0.18589818954467774,9.500736214427206e-05,0.56
750,0.17037281036376953,9.400347901907456e-05,0.6
800,0.16385969161987304,9.291403633123046e-05,0.64
850,0.16583520889282227,9.174115237324704e-05,0.68
900,0.17335588455200196,9.048710767931654e-05,0.72
950,0.1654755210876465,8.915434059108705e-05,0.76
1000,0.1534688377380371,8.774544251659536e-05,0.8
1050,0.169965877532959,8.626315289158054e-05,0.84
1100,0.16401422500610352,8.471035385297491e-05,0.88
1150,0.14963268280029296,8.309006463492956e-05,0.92
1200,0.1672059440612793,8.140543569827051e-05,0.96
1250,0.15131985664367675,7.96597426048e-05,1.0
1300,0.0742570972442627,7.785637964835395e-05,1.04
1350,0.06958630561828613,7.599885325499879e-05,1.08
1400,0.06335294723510743,7.409077516520056e-05,1.12
1450,0.06946121215820313,7.213585541122261e-05,1.16
1500,0.08038724899291992,7.013789510340635e-05,1.2
1550,0.06117249011993408,6.810077903936176e-05,1.24
1600,0.076711745262146,6.602846815043752e-05,1.28
1650,0.07103985786437989,6.392499180015847e-05,1.32
1700,0.06557156085968018,6.179443994960451e-05,1.3599999999999999
1750,0.06610035419464111,5.964095520496475e-05,1.4
1800,0.0703098726272583,5.746872476272973e-05,1.44
1850,0.06529664993286133,5.528197226818266e-05,1.48
1900,0.07077841758728028,5.308494960302063e-05,1.52
1950,0.06776322364807129,5.088192861807333e-05,1.56
2000,0.07430391788482665,4.867719282719407e-05,1.6
