step,epoch,eval_loss,probe_n,verbal_compliance,verbal_mean_confidence
0,0,3.3431601524353027,120,0.95,0.67982
50,0.04,,120,1.0,0.56083
100,0.08,,120,1.0,0.40833
150,0.12,,120,0.81667,0.5
200,0.16,,120,0.9,0.52778
250,0.2,,120,0.46667,0.92857
300,0.24,,120,0.43333,0.98077
350,0.28,,120,0.0,
400,0.32,,120,0.0,
450,0.36,,120,0.0,
500,0.4,0.13022878766059875,120,0.0,
550,0.44,,120,0.0,
600,0.48,,120,0.0,
650,0.52,,120,0.0,
700,0.56,,120,0.0,
750,0.6,,120,0.0,
800,0.64,,120,0.0,
850,0.68,,120,0.0,
900,0.72,,120,0.0,
950,0.76,,120,0.0,
1000,0.8,0.13042348623275757,120,0.0,
1050,0.84,,120,0.0,
1100,0.88,,120,0.0,
1150,0.92,,120,0.0,
1200,0.96,,120,0.0,
1250,1.0,,120,0.0,
1300,1.04,,120,0.0,
1350,1.08,,120,0.0,
1400,1.12,,120,0.0,
1450,1.16,,120,0.0,
1500,1.2,0.13960447907447815,120,0.0,
1550,1.24,,120,0.0,
1600,1.28,,120,0.0,
1650,1.32,,120,0.0,
1700,1.36,,120,0.0,
1750,1.4,,120,0.0,
1800,1.44,,120,0.0,
1850,1.48,,120,0.0,
1900,1.52,,120,0.0,
1950,1.56,,120,0.0,
2000,1.6,0.14807388186454773,120,0.0,
